,,j,0,,,1,,,2,,
,,kT vs RL,kt_0-0.05,,,kt_0.05-1,,,kt_1-10,,
,i,,min,max,sigma,min,max,sigma,min,max,sigma
kt_vs_RL,0,20-40,2E-02,2E-01,0.80,7E-02,4E-01,0.70,1.5E-01,5E-01,0.40
kt_vs_RL,1,40-60,1.5E-02,1E-01,0.80,3.5E-02,2E-01,0.70,9E-02,5E-01,0.50
kt_vs_RL,2,60-80,1E-02,1E-01,0.80,2.5E-02,2E-01,0.60,6E-02,4.5E-01,0.60
kt_vs_RL,3,80-100,9E-03,6E-02,0.90,2.5E-02,1E-01,0.85,5E-02,5E-01,0.80
kt_vs_RL,4,100-120,8E-03,5E-02,0.90,1.5E-02,9E-02,0.85,4E-02,4E-01,0.80
kt_vs_RL,5,120-150,8E-03,3E-02,1.00,1.5E-02,9E-02,0.90,2E-02,5E-01,0.80
kt_vs_RL,6,150-200,6E-03,2.5E-02,1.00,1E-02,8E-02,0.90,1.5E-02,4E-01,0.80
kt_vs_ptRL,0,20-40,7E-01,5E+00,0.90,2E+00,1E+01,0.70,4E+00,1.5E+01,0.50
kt_vs_ptRL,1,40-60,6E-01,6E+00,0.90,2E+00,1E+01,0.70,5E+00,2E+01,0.60
kt_vs_ptRL,2,60-80,8E-01,5E+00,0.90,2E+00,1E+01,0.70,4E+00,3E+01,0.70
kt_vs_ptRL,3,80-100,8E-01,6E+00,0.95,2E+00,1.2E+01,0.80,4E+00,4E+01,0.80
kt_vs_ptRL,4,100-120,9E-01,5E+00,1.00,2E+00,1E+01,0.80,4E+00,5E+01,0.80
kt_vs_ptRL,5,120-150,1E+00,4E+00,1.10,2E+00,1E+01,0.90,4E+00,4E+01,0.90
kt_vs_ptRL,6,150-200,9E-01,5E+00,1.10,2E+00,1E+01,0.90,4E+00,6E+01,0.90
